path,category,domain,review_state,evidence,justification
docs/favicon-32.png,doc-public,docs-public,inventoried,listed by git ls-files; not read or executed in this audit,tracked file; state reflects only recorded evidence (see relabel-evidence-states.py)
docs/favicon.svg,doc-public,docs-public,inventoried,listed by git ls-files; not read or executed in this audit,tracked file; state reflects only recorded evidence (see relabel-evidence-states.py)
docs/i18n.js,doc-public,docs-public,inventoried,listed by git ls-files; not read or executed in this audit,tracked file; state reflects only recorded evidence (see relabel-evidence-states.py)
docs/index.html,doc-public,docs-public,inventoried,listed by git ls-files; not read or executed in this audit,tracked file; state reflects only recorded evidence (see relabel-evidence-states.py)
docs/og-image.png,doc-public,docs-public,inventoried,listed by git ls-files; not read or executed in this audit,tracked file; state reflects only recorded evidence (see relabel-evidence-states.py)
docs/site-i18n.js,doc-public,docs-public,inventoried,listed by git ls-files; not read or executed in this audit,tracked file; state reflects only recorded evidence (see relabel-evidence-states.py)
docs/superpowers/plans/2026-09-06-native-track-audio.md,doc-public,docs-public,inventoried,listed by git ls-files; not read or executed in this audit,tracked file; state reflects only recorded evidence (see relabel-evidence-states.py)
docs/superpowers/plans/2026-09-07-browser-release-candidate.md,doc-public,docs-public,inventoried,listed by git ls-files; not read or executed in this audit,tracked file; state reflects only recorded evidence (see relabel-evidence-states.py)
docs/superpowers/plans/2026-09-07-product-final-review.md,doc-public,docs-public,inventoried,listed by git ls-files; not read or executed in this audit,tracked file; state reflects only recorded evidence (see relabel-evidence-states.py)
docs/superpowers/plans/2026-09-12-stutter-feedback-lfo-shapes.md,doc-public,modulation,inventoried,listed by git ls-files; not read or executed in this audit,tracked file; state reflects only recorded evidence (see relabel-evidence-states.py)
docs/superpowers/plans/2026-09-13-contextual-calibration.md,doc-public,sensors,inventoried,listed by git ls-files; not read or executed in this audit,tracked file; state reflects only recorded evidence (see relabel-evidence-states.py)
docs/superpowers/specs/2026-09-06-native-track-audio-design.md,doc-public,docs-public,inventoried,listed by git ls-files; not read or executed in this audit,tracked file; state reflects only recorded evidence (see relabel-evidence-states.py)
docs/surface-cards.css,doc-public,docs-public,inventoried,listed by git ls-files; not read or executed in this audit,tracked file; state reflects only recorded evidence (see relabel-evidence-states.py)
eslint.config.js,root-config,root-config,executed-P05,consumed by npm ci / lint / build:prod in P05 (TEST-RESULTS.md),tracked file; state reflects only recorded evidence (see relabel-evidence-states.py)
internal/CODE-HYGIENE-1.0.md,doc-internal,docs-internal,inventoried,listed by git ls-files; not read or executed in this audit,tracked file; state reflects only recorded evidence (see relabel-evidence-states.py)
internal/CONTROL-LATENCY-AUDIT-2026-09-09.md,doc-internal,docs-internal,inventoried,listed by git ls-files; not read or executed in this audit,tracked file; state reflects only recorded evidence (see relabel-evidence-states.py)
internal/DISTRIBUTION-REVIEW-1.0.md,doc-internal,docs-internal,inventoried,listed by git ls-files; not read or executed in this audit,tracked file; state reflects only recorded evidence (see relabel-evidence-states.py)
internal/LAUNCH-RUNBOOK-1.0.md,doc-internal,docs-internal,inventoried,listed by git ls-files; not read or executed in this audit,tracked file; state reflects only recorded evidence (see relabel-evidence-states.py)
internal/LIVE-WRITE-CEILING-1.0.md,doc-internal,docs-internal,read-P01,read during P01/P02 document pass (progress.jsonl),tracked file; state reflects only recorded evidence (see relabel-evidence-states.py)
internal/NATIVE-AUDIO-VALIDATION.md,doc-internal,docs-internal,read-P01,read during P01/P02 document pass (progress.jsonl),tracked file; state reflects only recorded evidence (see relabel-evidence-states.py)
internal/PERFORMANCE-BASELINE-1.0.md,doc-internal,docs-internal,inventoried,listed by git ls-files; not read or executed in this audit,tracked file; state reflects only recorded evidence (see relabel-evidence-states.py)
internal/PESQUISA_CELULAR_GESTUAL.md,doc-internal,docs-internal,inventoried,listed by git ls-files; not read or executed in this audit,tracked file; state reflects only recorded evidence (see relabel-evidence-states.py)
internal/README.md,doc-internal,docs-internal,inventoried,listed by git ls-files; not read or executed in this audit,tracked file; state reflects only recorded evidence (see relabel-evidence-states.py)
internal/RELEASE-BASELINE-1.0.md,doc-internal,docs-internal,inventoried,listed by git ls-files; not read or executed in this audit,tracked file; state reflects only recorded evidence (see relabel-evidence-states.py)
internal/RELEASE-CANDIDATE-CHECKLIST.pt-BR.md,doc-internal,docs-internal,read-P01,read during P01/P02 document pass (progress.jsonl),tracked file; state reflects only recorded evidence (see relabel-evidence-states.py)
internal/RELEASE-GATES-1.0.json,doc-internal,docs-internal,read-P01,read during P01/P02 document pass (progress.jsonl),tracked file; state reflects only recorded evidence (see relabel-evidence-states.py)
internal/RELEASE-READINESS-2026-09-07.pt-BR.md,doc-internal,docs-internal,inventoried,listed by git ls-files; not read or executed in this audit,tracked file; state reflects only recorded evidence (see relabel-evidence-states.py)
internal/TESTER-GUIDE.md,doc-internal,docs-internal,read-P01,read during P01/P02 document pass (progress.jsonl),tracked file; state reflects only recorded evidence (see relabel-evidence-states.py)
internal/THEME_CONTRACT.md,doc-internal,docs-internal,inventoried,listed by git ls-files; not read or executed in this audit,tracked file; state reflects only recorded evidence (see relabel-evidence-states.py)
internal/VERIFY-RELEASE-CONSTRAINT-1.0.md,doc-internal,docs-internal,inventoried,listed by git ls-files; not read or executed in this audit,tracked file; state reflects only recorded evidence (see relabel-evidence-states.py)
manifest.json,root-config,root-config,read-P01,read during P01/P02 document pass (progress.jsonl),tracked file; state reflects only recorded evidence (see relabel-evidence-states.py)
max/audio-descriptors/device.maxpat,root-config,audio,inventoried,listed by git ls-files; not read or executed in this audit,tracked file; state reflects only recorded evidence (see relabel-evidence-states.py)
max/audio-descriptors/rc-bridge.cjs,root-config,audio,inventoried,listed by git ls-files; not read or executed in this audit,tracked file; state reflects only recorded evidence (see relabel-evidence-states.py)
max/audio-descriptors/rc-device-control.js,root-config,audio,inventoried,listed by git ls-files; not read or executed in this audit,tracked file; state reflects only recorded evidence (see relabel-evidence-states.py)
max/audio-descriptors/rc-fast-attacks.maxpat,root-config,audio,inventoried,listed by git ls-files; not read or executed in this audit,tracked file; state reflects only recorded evidence (see relabel-evidence-states.py)
max/audio-descriptors/rc-latency-target.maxpat,root-config,audio,inventoried,listed by git ls-files; not read or executed in this audit,tracked file; state reflects only recorded evidence (see relabel-evidence-states.py)
max/audio-descriptors/rc-native-slot.maxpat,root-config,audio,inventoried,listed by git ls-files; not read or executed in this audit,tracked file; state reflects only recorded evidence (see relabel-evidence-states.py)
max/audio-descriptors/rc-probe-client.cjs,root-config,audio,inventoried,listed by git ls-files; not read or executed in this audit,tracked file; state reflects only recorded evidence (see relabel-evidence-states.py)
package-lock.json,root-config,misc,executed-P05,consumed by npm ci / lint / build:prod in P05 (TEST-RESULTS.md),tracked file; state reflects only recorded evidence (see relabel-evidence-states.py)
package.json,root-config,root-config,read-P01;executed-P05,read during P01/P02 document pass (progress.jsonl); consumed by npm ci / lint / build:prod in P05 (TEST-RESULTS.md),tracked file; state reflects only recorded evidence (see relabel-evidence-states.py)
playwright.config.mjs,root-config,root-config,executed-P05,consumed by npm ci / lint / build:prod in P05 (TEST-RESULTS.md),tracked file; state reflects only recorded evidence (see relabel-evidence-states.py)
scripts/amxd.js,script,max-device,inventoried,listed by git ls-files; not read or executed in this audit,tracked file; state reflects only recorded evidence (see relabel-evidence-states.py)
scripts/assets/fonts/DepartureMono-Regular.otf,script,misc,inventoried,listed by git ls-files; not read or executed in this audit,tracked file; state reflects only recorded evidence (see relabel-evidence-states.py)
scripts/assets/kit/Migrate RC Surface Data.command,script,misc,inventoried,listed by git ls-files; not read or executed in this audit,tracked file; state reflects only recorded evidence (see relabel-evidence-states.py)
scripts/assets/kit/Migrate-RC-Surface-Data.cmd,script,misc,inventoried,listed by git ls-files; not read or executed in this audit,tracked file; state reflects only recorded evidence (see relabel-evidence-states.py)
scripts/assets/kit/Migrate-RC-Surface-Data.ps1,script,misc,inventoried,listed by git ls-files; not read or executed in this audit,tracked file; state reflects only recorded evidence (see relabel-evidence-states.py)
scripts/audio-descriptors-device.test.mjs,script,audio,executed-P05,ran under npm test in P05 (package.json test:static/test:src globs; TEST-RESULTS.md),tracked file; state reflects only recorded evidence (see relabel-evidence-states.py)
scripts/audio-sender-device.test.mjs,script,misc,executed-P05,ran under npm test in P05 (package.json test:static/test:src globs; TEST-RESULTS.md),tracked file; state reflects only recorded evidence (see relabel-evidence-states.py)
scripts/bench-live-write-rate.mjs,script,bench,inventoried,listed by git ls-files; not read or executed in this audit,tracked file; state reflects only recorded evidence (see relabel-evidence-states.py)
scripts/bench-live-write-rate.test.mjs,script,bench,executed-P05,ran under npm test in P05 (package.json test:static/test:src globs; TEST-RESULTS.md),tracked file; state reflects only recorded evidence (see relabel-evidence-states.py)
scripts/bench-ws-compression.mjs,script,bench,inventoried,listed by git ls-files; not read or executed in this audit,tracked file; state reflects only recorded evidence (see relabel-evidence-states.py)
scripts/build-audio-descriptors.mjs,script,audio,inventoried,listed by git ls-files; not read or executed in this audit,tracked file; state reflects only recorded evidence (see relabel-evidence-states.py)
scripts/build-audio-sender.js,script,max-device,inventoried,listed by git ls-files; not read or executed in this audit,tracked file; state reflects only recorded evidence (see relabel-evidence-states.py)
scripts/build-host-locally.sh,script,misc,inventoried,listed by git ls-files; not read or executed in this audit,tracked file; state reflects only recorded evidence (see relabel-evidence-states.py)
scripts/build-midi-receiver.js,script,midi,inventoried,listed by git ls-files; not read or executed in this audit,tracked file; state reflects only recorded evidence (see relabel-evidence-states.py)
scripts/check-product-name.mjs,script,distribution,inventoried,listed by git ls-files; not read or executed in this audit,tracked file; state reflects only recorded evidence (see relabel-evidence-states.py)
scripts/check-release-gates.mjs,script,distribution,read-P06,named in progress.jsonl P06,tracked file; state reflects only recorded evidence (see relabel-evidence-states.py)
scripts/check-release-gates.test.mjs,script,distribution,executed-P05,ran under npm test in P05 (package.json test:static/test:src globs; TEST-RESULTS.md),tracked file; state reflects only recorded evidence (see relabel-evidence-states.py)
scripts/generate-native-latency-fixture.mjs,script,misc,inventoried,listed by git ls-files; not read or executed in this audit,tracked file; state reflects only recorded evidence (see relabel-evidence-states.py)
scripts/generate-native-latency-fixture.test.mjs,script,misc,executed-P05,ran under npm test in P05 (package.json test:static/test:src globs; TEST-RESULTS.md),tracked file; state reflects only recorded evidence (see relabel-evidence-states.py)
scripts/generate-og-image.py,script,misc,inventoried,listed by git ls-files; not read or executed in this audit,tracked file; state reflects only recorded evidence (see relabel-evidence-states.py)
scripts/install-candidate-status.test.mjs,script,distribution,executed-P05,ran under npm test in P05 (package.json test:static/test:src globs; TEST-RESULTS.md),tracked file; state reflects only recorded evidence (see relabel-evidence-states.py)
scripts/landing-cards.test.mjs,script,misc,executed-P05,ran under npm test in P05 (package.json test:static/test:src globs; TEST-RESULTS.md),tracked file; state reflects only recorded evidence (see relabel-evidence-states.py)
scripts/landing-runtime-contract.test.mjs,script,misc,executed-P05,ran under npm test in P05 (package.json test:static/test:src globs; TEST-RESULTS.md),tracked file; state reflects only recorded evidence (see relabel-evidence-states.py)
scripts/lima-audio-sender.sh,script,misc,inventoried,listed by git ls-files; not read or executed in this audit,tracked file; state reflects only recorded evidence (see relabel-evidence-states.py)
scripts/lima-midi-receiver.sh,script,midi,inventoried,listed by git ls-files; not read or executed in this audit,tracked file; state reflects only recorded evidence (see relabel-evidence-states.py)
scripts/measure-native-audio-latency.mjs,script,misc,inventoried,listed by git ls-files; not read or executed in this audit,tracked file; state reflects only recorded evidence (see relabel-evidence-states.py)
scripts/measure-native-audio-latency.test.mjs,script,misc,executed-P05,ran under npm test in P05 (package.json test:static/test:src globs; TEST-RESULTS.md),tracked file; state reflects only recorded evidence (see relabel-evidence-states.py)
scripts/midi-receiver-arming.test.mjs,script,midi,executed-P05,ran under npm test in P05 (package.json test:static/test:src globs; TEST-RESULTS.md),tracked file; state reflects only recorded evidence (see relabel-evidence-states.py)
scripts/midi-receiver-device.test.mjs,script,midi,executed-P05,ran under npm test in P05 (package.json test:static/test:src globs; TEST-RESULTS.md),tracked file; state reflects only recorded evidence (see relabel-evidence-states.py)
scripts/migrate-data.mjs,script,distribution,read-P06,named in progress.jsonl P06,tracked file; state reflects only recorded evidence (see relabel-evidence-states.py)
scripts/migrate-data.test.mjs,script,distribution,executed-P05,ran under npm test in P05 (package.json test:static/test:src globs; TEST-RESULTS.md),tracked file; state reflects only recorded evidence (see relabel-evidence-states.py)
scripts/migration-wrappers.test.mjs,script,misc,executed-P05,ran under npm test in P05 (package.json test:static/test:src globs; TEST-RESULTS.md),tracked file; state reflects only recorded evidence (see relabel-evidence-states.py)
scripts/native-audio-capability-probe.mjs,script,misc,inventoried,listed by git ls-files; not read or executed in this audit,tracked file; state reflects only recorded evidence (see relabel-evidence-states.py)
scripts/native-audio-capability-probe.test.mjs,script,misc,executed-P05,ran under npm test in P05 (package.json test:static/test:src globs; TEST-RESULTS.md),tracked file; state reflects only recorded evidence (see relabel-evidence-states.py)
scripts/native-audio-reference.mjs,script,misc,inventoried,listed by git ls-files; not read or executed in this audit,tracked file; state reflects only recorded evidence (see relabel-evidence-states.py)
scripts/native-audio-reference.test.mjs,script,misc,executed-P05,ran under npm test in P05 (package.json test:static/test:src globs; TEST-RESULTS.md),tracked file; state reflects only recorded evidence (see relabel-evidence-states.py)
scripts/no-inert-controls.test.mjs,script,misc,executed-P05,ran under npm test in P05 (package.json test:static/test:src globs; TEST-RESULTS.md),tracked file; state reflects only recorded evidence (see relabel-evidence-states.py)
scripts/og-image.test.mjs,script,misc,executed-P05,ran under npm test in P05 (package.json test:static/test:src globs; TEST-RESULTS.md),tracked file; state reflects only recorded evidence (see relabel-evidence-states.py)
scripts/package-tester-kit.mjs,script,distribution,read-P06,named in progress.jsonl P06,tracked file; state reflects only recorded evidence (see relabel-evidence-states.py)
scripts/package-tester-kit.test.mjs,script,distribution,executed-P05,ran under npm test in P05 (package.json test:static/test:src globs; TEST-RESULTS.md),tracked file; state reflects only recorded evidence (see relabel-evidence-states.py)
scripts/release-workflow.test.mjs,script,distribution,executed-P05,ran under npm test in P05 (package.json test:static/test:src globs; TEST-RESULTS.md),tracked file; state reflects only recorded evidence (see relabel-evidence-states.py)
scripts/stress/admin-observer.mjs,script,stress,inventoried,listed by git ls-files; not read or executed in this audit,tracked file; state reflects only recorded evidence (see relabel-evidence-states.py)
scripts/stress/fake-phone-headless.mjs,script,stress,inventoried,listed by git ls-files; not read or executed in this audit,tracked file; state reflects only recorded evidence (see relabel-evidence-states.py)
scripts/stress/fake-phone-multi.mjs,script,stress,inventoried,listed by git ls-files; not read or executed in this audit,tracked file; state reflects only recorded evidence (see relabel-evidence-states.py)
scripts/stress/launch-clients.sh,script,stress,inventoried,listed by git ls-files; not read or executed in this audit,tracked file; state reflects only recorded evidence (see relabel-evidence-states.py)
scripts/sync-tester-kit.mjs,script,transport,inventoried,listed by git ls-files; not read or executed in this audit,tracked file; state reflects only recorded evidence (see relabel-evidence-states.py)
scripts/test-port-assignments.test.mjs,script,distribution,executed-P05,ran under npm test in P05 (package.json test:static/test:src globs; TEST-RESULTS.md),tracked file; state reflects only recorded evidence (see relabel-evidence-states.py)
scripts/validate-release-tag.mjs,script,distribution,inventoried,listed by git ls-files; not read or executed in this audit,tracked file; state reflects only recorded evidence (see relabel-evidence-states.py)
scripts/verify-release-package.mjs,script,distribution,inventoried,listed by git ls-files; not read or executed in this audit,tracked file; state reflects only recorded evidence (see relabel-evidence-states.py)
scripts/verify-release-package.test.mjs,script,distribution,executed-P05,ran under npm test in P05 (package.json test:static/test:src globs; TEST-RESULTS.md),tracked file; state reflects only recorded evidence (see relabel-evidence-states.py)
scripts/verify-release.mjs,script,distribution,read-P06,named in progress.jsonl P06,tracked file; state reflects only recorded evidence (see relabel-evidence-states.py)
scripts/verify-release.test.mjs,script,distribution,executed-P05,ran under npm test in P05 (package.json test:static/test:src globs; TEST-RESULTS.md),tracked file; state reflects only recorded evidence (see relabel-evidence-states.py)
scripts/version-metadata.test.mjs,script,misc,executed-P05,ran under npm test in P05 (package.json test:static/test:src globs; TEST-RESULTS.md),tracked file; state reflects only recorded evidence (see relabel-evidence-states.py)
src/context.ts,source,host-bootstrap,inventoried,listed by git ls-files; not read or executed in this audit,tracked file; state reflects only recorded evidence (see relabel-evidence-states.py)
src/extension.ts,source,host-bootstrap,inventoried,listed by git ls-files; not read or executed in this audit,tracked file; state reflects only recorded evidence (see relabel-evidence-states.py)
src/live/catalog/index.ts,source,live-bridge,inventoried,listed by git ls-files; not read or executed in this audit,tracked file; state reflects only recorded evidence (see relabel-evidence-states.py)
src/live/catalog/transport-commands.ts,source,live-bridge,inventoried,listed by git ls-files; not read or executed in this audit,tracked file; state reflects only recorded evidence (see relabel-evidence-states.py)
src/live/catalog/types.ts,source,live-bridge,inventoried,listed by git ls-files; not read or executed in this audit,tracked file; state reflects only recorded evidence (see relabel-evidence-states.py)
src/live/continuous-target-actuator.ts,source,live-bridge,read-P03,named in progress.jsonl P03,tracked file; state reflects only recorded evidence (see relabel-evidence-states.py)
src/live/curves.ts,source,live-bridge,inventoried,listed by git ls-files; not read or executed in this audit,tracked file; state reflects only recorded evidence (see relabel-evidence-states.py)
src/live/host-modulators.ts,source,modulation,read-P03,named in progress.jsonl P03,tracked file; state reflects only recorded evidence (see relabel-evidence-states.py)
src/live/mappings.ts,source,mapping,inventoried,listed by git ls-files; not read or executed in this audit,tracked file; state reflects only recorded evidence (see relabel-evidence-states.py)
src/live/midi-receiver.ts,source,midi,inventoried,listed by git ls-files; not read or executed in this audit,tracked file; state reflects only recorded evidence (see relabel-evidence-states.py)
src/live/osc-transport.ts,source,transport,read-P03,named in progress.jsonl P03,tracked file; state reflects only recorded evidence (see relabel-evidence-states.py)
src/live/project-config.ts,source,live-bridge,read-P03,named in progress.jsonl P03,tracked file; state reflects only recorded evidence (see relabel-evidence-states.py)
src/live/safe-input.ts,source,live-bridge,read-P03,named in progress.jsonl P03,tracked file; state reflects only recorded evidence (see relabel-evidence-states.py)
src/live/state.ts,source,live-bridge,inventoried,listed by git ls-files; not read or executed in this audit,tracked file; state reflects only recorded evidence (see relabel-evidence-states.py)
src/live/target-scale.ts,source,live-bridge,inventoried,listed by git ls-files; not read or executed in this audit,tracked file; state reflects only recorded evidence (see relabel-evidence-states.py)
src/live/transport-clock.ts,source,modulation,read-P03,named in progress.jsonl P03,tracked file; state reflects only recorded evidence (see relabel-evidence-states.py)
src/osc-tokens.ts,source,osc,inventoried,listed by git ls-files; not read or executed in this audit,tracked file; state reflects only recorded evidence (see relabel-evidence-states.py)
src/runtime/global-polyfill.ts,source,runtime,inventoried,listed by git ls-files; not read or executed in this audit,tracked file; state reflects only recorded evidence (see relabel-evidence-states.py)
src/runtime/safety.ts,source,runtime,inventoried,listed by git ls-files; not read or executed in this audit,tracked file; state reflects only recorded evidence (see relabel-evidence-states.py)
src/server/access-urls.ts,source,server,inventoried,listed by git ls-files; not read or executed in this audit,tracked file; state reflects only recorded evidence (see relabel-evidence-states.py)
src/server/autostart.ts,source,server,inventoried,listed by git ls-files; not read or executed in this audit,tracked file; state reflects only recorded evidence (see relabel-evidence-states.py)
src/server/backpressure.ts,source,server,inventoried,listed by git ls-files; not read or executed in this audit,tracked file; state reflects only recorded evidence (see relabel-evidence-states.py)
src/server/cert.ts,source,server,inventoried,listed by git ls-files; not read or executed in this audit,tracked file; state reflects only recorded evidence (see relabel-evidence-states.py)
src/server/client-id.ts,source,server,inventoried,listed by git ls-files; not read or executed in this audit,tracked file; state reflects only recorded evidence (see relabel-evidence-states.py)
src/server/command-dispatch.ts,source,server,inventoried,listed by git ls-files; not read or executed in this audit,tracked file; state reflects only recorded evidence (see relabel-evidence-states.py)
src/server/http.ts,source,server,read-P03,named in progress.jsonl P03,tracked file; state reflects only recorded evidence (see relabel-evidence-states.py)
src/server/locale.ts,source,server,inventoried,listed by git ls-files; not read or executed in this audit,tracked file; state reflects only recorded evidence (see relabel-evidence-states.py)
src/server/session-auth.ts,source,server,read-P03,named in progress.jsonl P03,tracked file; state reflects only recorded evidence (see relabel-evidence-states.py)
src/server/state.ts,source,server,inventoried,listed by git ls-files; not read or executed in this audit,tracked file; state reflects only recorded evidence (see relabel-evidence-states.py)
src/server/write-scheduler.ts,source,server,read-P03,named in progress.jsonl P03,tracked file; state reflects only recorded evidence (see relabel-evidence-states.py)
src/server/ws-bounds.ts,source,server,inventoried,listed by git ls-files; not read or executed in this audit,tracked file; state reflects only recorded evidence (see relabel-evidence-states.py)
src/server/ws.ts,source,server,inventoried,listed by git ls-files; not read or executed in this audit,tracked file; state reflects only recorded evidence (see relabel-evidence-states.py)
src/ui/panel.ts,source,ui-host,inventoried,listed by git ls-files; not read or executed in this audit,tracked file; state reflects only recorded evidence (see relabel-evidence-states.py)
src/util/cpu.ts,source,util,inventoried,listed by git ls-files; not read or executed in this audit,tracked file; state reflects only recorded evidence (see relabel-evidence-states.py)
src/util/helpers.ts,source,util,inventoried,listed by git ls-files; not read or executed in this audit,tracked file; state reflects only recorded evidence (see relabel-evidence-states.py)
src/util/url.ts,source,util,inventoried,listed by git ls-files; not read or executed in this audit,tracked file; state reflects only recorded evidence (see relabel-evidence-states.py)
