feature_id,surface,entry_point,handler,payload,authorization,state_persistence,target,feedback,test,real_evidence,status,residual_risk,evidence_basis
pad-11,phone PERF,static/phone-v3/controls.js#pad-11,static/phone-v3/controls.js makePad + window.onControl,control frame value 0..1 / pad-11,controller role token; mapped? bound via MAP,localStorage cfg override (CFG); last value,Live device parameter via continuousTargetActuator (src/live/continuous-target-actuator.ts) or RC-Midi-Receiver v2 SDK packet (MIDI_PACKET_PARAMETER=RC MIDI Packet v2),"pad fill, mode letter tag, haptics retired (no haptics UI)",tests/live-mappings-*; static/phone-v3/pointer-controls.test.mjs; user guide cap 1.0.0,tests/live-mappings-* (suite ampla); static/phone-v3/pointer-controls.test.mjs; user guide cap 1.0.0,owner-accepted-2026-09-19;automated-test-P05;code-reviewed-P02,CFG override may shadow mapping; trigger note ordering with OFF,"workflow-main tasks/rc-surface-v1-stage-acceptance-2026-09-18: 18/09 pads 1..12 number + mode letter; 19/09 two pads at once, modes A/B/C/D, pad held + XY/LFO | ran in P05 npm test / test:ui: static/phone-v3/pointer-controls.test.mjs, tests/live-mappings-clear.test.mjs, tests/live-mappings-curve.test.mjs, tests/live-mappings-high-rate.test.mjs … | progress.jsonl P02: controls.js"
pad-12,phone PERF,static/phone-v3/controls.js#pad-12,static/phone-v3/controls.js makePad + window.onControl,control frame value 0..1 / pad-12,controller role token; mapped? bound via MAP,localStorage cfg override (CFG); last value,Live device parameter via continuousTargetActuator (src/live/continuous-target-actuator.ts) or RC-Midi-Receiver v2 SDK packet (MIDI_PACKET_PARAMETER=RC MIDI Packet v2),"pad fill, mode letter tag, haptics retired (no haptics UI)",tests/live-mappings-*; static/phone-v3/pointer-controls.test.mjs; user guide cap 1.0.0,tests/live-mappings-* (suite ampla); static/phone-v3/pointer-controls.test.mjs; user guide cap 1.0.0,owner-accepted-2026-09-19;automated-test-P05;code-reviewed-P02,CFG override may shadow mapping; trigger note ordering with OFF,"workflow-main tasks/rc-surface-v1-stage-acceptance-2026-09-18: 18/09 pads 1..12 number + mode letter; 19/09 two pads at once, modes A/B/C/D, pad held + XY/LFO | ran in P05 npm test / test:ui: static/phone-v3/pointer-controls.test.mjs, tests/live-mappings-clear.test.mjs, tests/live-mappings-curve.test.mjs, tests/live-mappings-high-rate.test.mjs … | progress.jsonl P02: controls.js"
knob-1,phone PERF / MIX,static/phone-v3/controls.js#knob-1,static/phone-v3/controls.js (gesture + mode-engine + control-stream),continuous 0..1 / normalized to target range,controller role token,CFG override; last value,Live device parameter via continuousTargetActuator,knob dial position; mapping curve drawing,tests/live-mappings-*; static/phone-v3/controls.js tests,tests/live-mappings-curve/target-range/pickup/takeover/smooth-timer/safe-loss,owner-accepted-2026-09-19;automated-test-P05;code-reviewed-P02,smooth/target-range interaction,"workflow-main tasks/rc-surface-v1-stage-acceptance-2026-09-18: 18/09 MIX tab; 19/09 two knobs at once, knob + fader | ran in P05 npm test / test:ui: tests/live-mappings-clear.test.mjs, tests/live-mappings-curve.test.mjs, tests/live-mappings-high-rate.test.mjs, tests/live-mappings-idle-value.test.mjs … | progress.jsonl P02: controls.js"
knob-2,phone PERF / MIX,static/phone-v3/controls.js#knob-2,static/phone-v3/controls.js (gesture + mode-engine + control-stream),continuous 0..1 / normalized to target range,controller role token,CFG override; last value,Live device parameter via continuousTargetActuator,knob dial position; mapping curve drawing,tests/live-mappings-*; static/phone-v3/controls.js tests,tests/live-mappings-curve/target-range/pickup/takeover/smooth-timer/safe-loss,owner-accepted-2026-09-19;automated-test-P05;code-reviewed-P02,smooth/target-range interaction,"workflow-main tasks/rc-surface-v1-stage-acceptance-2026-09-18: 18/09 MIX tab; 19/09 two knobs at once, knob + fader | ran in P05 npm test / test:ui: tests/live-mappings-clear.test.mjs, tests/live-mappings-curve.test.mjs, tests/live-mappings-high-rate.test.mjs, tests/live-mappings-idle-value.test.mjs … | progress.jsonl P02: controls.js"
knob-3,phone PERF / MIX,static/phone-v3/controls.js#knob-3,static/phone-v3/controls.js (gesture + mode-engine + control-stream),continuous 0..1 / normalized to target range,controller role token,CFG override; last value,Live device parameter via continuousTargetActuator,knob dial position; mapping curve drawing,tests/live-mappings-*; static/phone-v3/controls.js tests,tests/live-mappings-curve/target-range/pickup/takeover/smooth-timer/safe-loss,owner-accepted-2026-09-19;automated-test-P05;code-reviewed-P02,smooth/target-range interaction,"workflow-main tasks/rc-surface-v1-stage-acceptance-2026-09-18: 18/09 MIX tab; 19/09 two knobs at once, knob + fader | ran in P05 npm test / test:ui: tests/live-mappings-clear.test.mjs, tests/live-mappings-curve.test.mjs, tests/live-mappings-high-rate.test.mjs, tests/live-mappings-idle-value.test.mjs … | progress.jsonl P02: controls.js"
knob-4,phone PERF / MIX,static/phone-v3/controls.js#knob-4,static/phone-v3/controls.js (gesture + mode-engine + control-stream),continuous 0..1 / normalized to target range,controller role token,CFG override; last value,Live device parameter via continuousTargetActuator,knob dial position; mapping curve drawing,tests/live-mappings-*; static/phone-v3/controls.js tests,tests/live-mappings-curve/target-range/pickup/takeover/smooth-timer/safe-loss,owner-accepted-2026-09-19;automated-test-P05;code-reviewed-P02,smooth/target-range interaction,"workflow-main tasks/rc-surface-v1-stage-acceptance-2026-09-18: 18/09 MIX tab; 19/09 two knobs at once, knob + fader | ran in P05 npm test / test:ui: tests/live-mappings-clear.test.mjs, tests/live-mappings-curve.test.mjs, tests/live-mappings-high-rate.test.mjs, tests/live-mappings-idle-value.test.mjs … | progress.jsonl P02: controls.js"
knob-5,phone PERF / MIX,static/phone-v3/controls.js#knob-5,static/phone-v3/controls.js (gesture + mode-engine + control-stream),continuous 0..1 / normalized to target range,controller role token,CFG override; last value,Live device parameter via continuousTargetActuator,knob dial position; mapping curve drawing,tests/live-mappings-*; static/phone-v3/controls.js tests,tests/live-mappings-curve/target-range/pickup/takeover/smooth-timer/safe-loss,owner-accepted-2026-09-19;automated-test-P05;code-reviewed-P02,smooth/target-range interaction,"workflow-main tasks/rc-surface-v1-stage-acceptance-2026-09-18: 18/09 MIX tab; 19/09 two knobs at once, knob + fader | ran in P05 npm test / test:ui: tests/live-mappings-clear.test.mjs, tests/live-mappings-curve.test.mjs, tests/live-mappings-high-rate.test.mjs, tests/live-mappings-idle-value.test.mjs … | progress.jsonl P02: controls.js"
knob-6,phone PERF / MIX,static/phone-v3/controls.js#knob-6,static/phone-v3/controls.js (gesture + mode-engine + control-stream),continuous 0..1 / normalized to target range,controller role token,CFG override; last value,Live device parameter via continuousTargetActuator,knob dial position; mapping curve drawing,tests/live-mappings-*; static/phone-v3/controls.js tests,tests/live-mappings-curve/target-range/pickup/takeover/smooth-timer/safe-loss,owner-accepted-2026-09-19;automated-test-P05;code-reviewed-P02,smooth/target-range interaction,"workflow-main tasks/rc-surface-v1-stage-acceptance-2026-09-18: 18/09 MIX tab; 19/09 two knobs at once, knob + fader | ran in P05 npm test / test:ui: tests/live-mappings-clear.test.mjs, tests/live-mappings-curve.test.mjs, tests/live-mappings-high-rate.test.mjs, tests/live-mappings-idle-value.test.mjs … | progress.jsonl P02: controls.js"
knob-7,phone PERF / MIX,static/phone-v3/controls.js#knob-7,static/phone-v3/controls.js (gesture + mode-engine + control-stream),continuous 0..1 / normalized to target range,controller role token,CFG override; last value,Live device parameter via continuousTargetActuator,knob dial position; mapping curve drawing,tests/live-mappings-*; static/phone-v3/controls.js tests,tests/live-mappings-curve/target-range/pickup/takeover/smooth-timer/safe-loss,owner-accepted-2026-09-19;automated-test-P05;code-reviewed-P02,smooth/target-range interaction,"workflow-main tasks/rc-surface-v1-stage-acceptance-2026-09-18: 18/09 MIX tab; 19/09 two knobs at once, knob + fader | ran in P05 npm test / test:ui: tests/live-mappings-clear.test.mjs, tests/live-mappings-curve.test.mjs, tests/live-mappings-high-rate.test.mjs, tests/live-mappings-idle-value.test.mjs … | progress.jsonl P02: controls.js"
knob-8,phone PERF / MIX,static/phone-v3/controls.js#knob-8,static/phone-v3/controls.js (gesture + mode-engine + control-stream),continuous 0..1 / normalized to target range,controller role token,CFG override; last value,Live device parameter via continuousTargetActuator,knob dial position; mapping curve drawing,tests/live-mappings-*; static/phone-v3/controls.js tests,tests/live-mappings-curve/target-range/pickup/takeover/smooth-timer/safe-loss,owner-accepted-2026-09-19;automated-test-P05;code-reviewed-P02,smooth/target-range interaction,"workflow-main tasks/rc-surface-v1-stage-acceptance-2026-09-18: 18/09 MIX tab; 19/09 two knobs at once, knob + fader | ran in P05 npm test / test:ui: tests/live-mappings-clear.test.mjs, tests/live-mappings-curve.test.mjs, tests/live-mappings-high-rate.test.mjs, tests/live-mappings-idle-value.test.mjs … | progress.jsonl P02: controls.js"
fader-1,phone PERF / MIX,static/phone-v3/controls.js#fader-1,static/phone-v3/controls.js makeFader with track.getBoundingClientRect().height,continuous 0..1,controller role token,CFG override; last value,Live device parameter; reset 0.85 default / 0.5 when bound to pan,fader thumb; mapping curve drawing,static/phone-v3/fader-range.test.mjs; fader-reset.test.mjs,static/phone-v3/fader-range.test.mjs; fader-reset.test.mjs,owner-accepted-2026-09-19;automated-test-P05;code-reviewed-P02,"reset target-aware (0.85 default, 0.5 when bound to pan)","workflow-main tasks/rc-surface-v1-stage-acceptance-2026-09-18: 18/09 faders 0.85 unity, MAP to Live track volume; 19/09 two faders, double-tap reset | ran in P05 npm test / test:ui: static/phone-v3/fader-range.test.mjs, static/phone-v3/fader-reset.test.mjs | progress.jsonl P02: controls.js"
fader-2,phone PERF / MIX,static/phone-v3/controls.js#fader-2,static/phone-v3/controls.js makeFader with track.getBoundingClientRect().height,continuous 0..1,controller role token,CFG override; last value,Live device parameter; reset 0.85 default / 0.5 when bound to pan,fader thumb; mapping curve drawing,static/phone-v3/fader-range.test.mjs; fader-reset.test.mjs,static/phone-v3/fader-range.test.mjs; fader-reset.test.mjs,owner-accepted-2026-09-19;automated-test-P05;code-reviewed-P02,"reset target-aware (0.85 default, 0.5 when bound to pan)","workflow-main tasks/rc-surface-v1-stage-acceptance-2026-09-18: 18/09 faders 0.85 unity, MAP to Live track volume; 19/09 two faders, double-tap reset | ran in P05 npm test / test:ui: static/phone-v3/fader-range.test.mjs, static/phone-v3/fader-reset.test.mjs | progress.jsonl P02: controls.js"
fader-3,phone PERF / MIX,static/phone-v3/controls.js#fader-3,static/phone-v3/controls.js makeFader with track.getBoundingClientRect().height,continuous 0..1,controller role token,CFG override; last value,Live device parameter; reset 0.85 default / 0.5 when bound to pan,fader thumb; mapping curve drawing,static/phone-v3/fader-range.test.mjs; fader-reset.test.mjs,static/phone-v3/fader-range.test.mjs; fader-reset.test.mjs,owner-accepted-2026-09-19;automated-test-P05;code-reviewed-P02,"reset target-aware (0.85 default, 0.5 when bound to pan)","workflow-main tasks/rc-surface-v1-stage-acceptance-2026-09-18: 18/09 faders 0.85 unity, MAP to Live track volume; 19/09 two faders, double-tap reset | ran in P05 npm test / test:ui: static/phone-v3/fader-range.test.mjs, static/phone-v3/fader-reset.test.mjs | progress.jsonl P02: controls.js"
fader-4,phone PERF / MIX,static/phone-v3/controls.js#fader-4,static/phone-v3/controls.js makeFader with track.getBoundingClientRect().height,continuous 0..1,controller role token,CFG override; last value,Live device parameter; reset 0.85 default / 0.5 when bound to pan,fader thumb; mapping curve drawing,static/phone-v3/fader-range.test.mjs; fader-reset.test.mjs,static/phone-v3/fader-range.test.mjs; fader-reset.test.mjs,owner-accepted-2026-09-19;automated-test-P05;code-reviewed-P02,"reset target-aware (0.85 default, 0.5 when bound to pan)","workflow-main tasks/rc-surface-v1-stage-acceptance-2026-09-18: 18/09 faders 0.85 unity, MAP to Live track volume; 19/09 two faders, double-tap reset | ran in P05 npm test / test:ui: static/phone-v3/fader-range.test.mjs, static/phone-v3/fader-reset.test.mjs | progress.jsonl P02: controls.js"
fader-5,phone PERF / MIX,static/phone-v3/controls.js#fader-5,static/phone-v3/controls.js makeFader with track.getBoundingClientRect().height,continuous 0..1,controller role token,CFG override; last value,Live device parameter; reset 0.85 default / 0.5 when bound to pan,fader thumb; mapping curve drawing,static/phone-v3/fader-range.test.mjs; fader-reset.test.mjs,static/phone-v3/fader-range.test.mjs; fader-reset.test.mjs,owner-accepted-2026-09-19;automated-test-P05;code-reviewed-P02,"reset target-aware (0.85 default, 0.5 when bound to pan)","workflow-main tasks/rc-surface-v1-stage-acceptance-2026-09-18: 18/09 faders 0.85 unity, MAP to Live track volume; 19/09 two faders, double-tap reset | ran in P05 npm test / test:ui: static/phone-v3/fader-range.test.mjs, static/phone-v3/fader-reset.test.mjs | progress.jsonl P02: controls.js"
fader-6,phone PERF / MIX,static/phone-v3/controls.js#fader-6,static/phone-v3/controls.js makeFader with track.getBoundingClientRect().height,continuous 0..1,controller role token,CFG override; last value,Live device parameter; reset 0.85 default / 0.5 when bound to pan,fader thumb; mapping curve drawing,static/phone-v3/fader-range.test.mjs; fader-reset.test.mjs,static/phone-v3/fader-range.test.mjs; fader-reset.test.mjs,owner-accepted-2026-09-19;automated-test-P05;code-reviewed-P02,"reset target-aware (0.85 default, 0.5 when bound to pan)","workflow-main tasks/rc-surface-v1-stage-acceptance-2026-09-18: 18/09 faders 0.85 unity, MAP to Live track volume; 19/09 two faders, double-tap reset | ran in P05 npm test / test:ui: static/phone-v3/fader-range.test.mjs, static/phone-v3/fader-reset.test.mjs | progress.jsonl P02: controls.js"
fader-7,phone PERF / MIX,static/phone-v3/controls.js#fader-7,static/phone-v3/controls.js makeFader with track.getBoundingClientRect().height,continuous 0..1,controller role token,CFG override; last value,Live device parameter; reset 0.85 default / 0.5 when bound to pan,fader thumb; mapping curve drawing,static/phone-v3/fader-range.test.mjs; fader-reset.test.mjs,static/phone-v3/fader-range.test.mjs; fader-reset.test.mjs,owner-accepted-2026-09-19;automated-test-P05;code-reviewed-P02,"reset target-aware (0.85 default, 0.5 when bound to pan)","workflow-main tasks/rc-surface-v1-stage-acceptance-2026-09-18: 18/09 faders 0.85 unity, MAP to Live track volume; 19/09 two faders, double-tap reset | ran in P05 npm test / test:ui: static/phone-v3/fader-range.test.mjs, static/phone-v3/fader-reset.test.mjs | progress.jsonl P02: controls.js"
fader-8,phone PERF / MIX,static/phone-v3/controls.js#fader-8,static/phone-v3/controls.js makeFader with track.getBoundingClientRect().height,continuous 0..1,controller role token,CFG override; last value,Live device parameter; reset 0.85 default / 0.5 when bound to pan,fader thumb; mapping curve drawing,static/phone-v3/fader-range.test.mjs; fader-reset.test.mjs,static/phone-v3/fader-range.test.mjs; fader-reset.test.mjs,owner-accepted-2026-09-19;automated-test-P05;code-reviewed-P02,"reset target-aware (0.85 default, 0.5 when bound to pan)","workflow-main tasks/rc-surface-v1-stage-acceptance-2026-09-18: 18/09 faders 0.85 unity, MAP to Live track volume; 19/09 two faders, double-tap reset | ran in P05 npm test / test:ui: static/phone-v3/fader-range.test.mjs, static/phone-v3/fader-reset.test.mjs | progress.jsonl P02: controls.js"
xy-1.x,phone PERF (XY 1),static/phone-v3/controls.js#xy-1,"static/phone-v3/controls.js (XY 1 direct, friction 0.012, bounce 0.75)",continuous 0..1,controller role token,CFG override,Live device parameter (X axis),XY position visual,static/phone-v3/xy-physics-stop.test.mjs,static/phone-v3/xy-physics-stop.test.mjs,owner-accepted-2026-09-19;automated-test-P05;code-reviewed-P02,physics stop / pointer capture edge,workflow-main tasks/rc-surface-v1-stage-acceptance-2026-09-18: 19/09 pad held + XY1 drag (print 03) | ran in P05 npm test / test:ui: static/phone-v3/xy-physics-stop.test.mjs | progress.jsonl P02: controls.js
xy-1.y,phone PERF (XY 1),static/phone-v3/controls.js#xy-1,"static/phone-v3/controls.js (XY 1 direct, friction 0.012, bounce 0.75)",continuous 0..1,controller role token,CFG override,Live device parameter (Y axis),XY position visual,static/phone-v3/xy-physics-stop.test.mjs,static/phone-v3/xy-physics-stop.test.mjs,owner-accepted-2026-09-19;automated-test-P05;code-reviewed-P02,physics stop / pointer capture edge,workflow-main tasks/rc-surface-v1-stage-acceptance-2026-09-18: 19/09 pad held + XY1 drag (print 03) | ran in P05 npm test / test:ui: static/phone-v3/xy-physics-stop.test.mjs | progress.jsonl P02: controls.js
